type	english	french	notes
title	Elegy In The Classroom	Élégie #1 dans la classe	#1: Une |élégie|http://www.cnrtl.fr/definition/%C3%A9l%C3%A9gie| ({elegy}) est un poème lyrique qui chante une plainte, typiquement après une séparation. Le mot est employé ici de façon ironique, suite à la « perte » du professeur qui s'est transformé en grenouille dans l'imagination de Sexton.
			
strophe	In the thin classroom, where your face	Dans cette maigre classe #2, où votre visage	#2: La « maigre classe » traduit au mieux « {thin classroom} », littéralement  « mince salle de classe ». L'association inhabituelle de ces deux mots est conservée. On peut y voir l’exiguïté des lieux, ou la relative médiocrité de l'ensemble des élèves.
	was noble and your words were all things,	était noble et vos mots étaient toutes les choses #3,	#3: Par opposition, le professeur occupe l'essentiel de la classe par sa noblesse ({noble}) et son immense savoir, car ses « mots étaient toutes les choses » ({your words were all things}).
	I find this boily creature in your place;	je trouve cette créature ~bouillonneuse, pustulleuse, bubonneuse~ #4 à votre place ;	#4: Le mot « {boily} » est un mot inventé, proche de « {boiling} » (bouillant) et « {bubbly} » (pétillant). Le mot « bouillonneux », synonyme de « bouillonnant », très peu usité, est retenu. Le professeur produit maintenant des bulles plutôt que des mots ! Le mot « {boily} » peut aussi venir de « {boils} » ({furoncles, pustulles}). Il pourrait alors être traduit par « {pustulleux, bubonneux} ».
			
strophe	find you disarranged, squatting on the window sill,	vous trouve ~dérangé, déformé, défiguré~ #5, accroupi sur le rebord de la fenêtre,	#5: Le mot « dérangé » ({disarranged}, synonyme peu usité de {deranged}) suggère ici la perte de la santé mentale. Le professeur est probablement |Robert Lowel|http://en.wikipedia.org/wiki/Robert_Lowell#1950s|. Il était atteint de troubles maniaco-dépressifs. Sexton a assisté à ses cours d'écriture créative en poésie. Le mot « disarranged » peut aussi faire référence à l'apparence physique du professeur comme « disturbed » ({désordonné}) ou même « disfigured » ({défiguré, déformé}).
	irrefutably placed up there,	posé là-haut irréfutablement,	
	like a hunk of some big frog	comme une grosse grenouille #6 d'un seul tenant #7	"#6: La « grenouille » ({frog}) est très présente dans les contes, où les princes ou princesses sont parfois transformés en grenouille ou crapaud par un sortilège. Les grenouilles sont souvent dépeintes comme bénignes, laides, maladroites, mais avec des talents cachés.
#7: « Comme une grosse grenouille d'un seul tenant » traduit au mieux « {like a hunk of some big frog} » (comme un gros morceau de grenouille), et exprime la passivité. Sexton joue aussi avec le mot « {hunk} » qui désigne dans le langage familier un homme musclé et sexuellement attirant."
	watching us through the V	nous observant à travers le V #8	#8: La lettre « V » reprèsente de façon imagée la position des pattes de la grenouille, lorsqu'on la voit de face.
	of your woolen legs.	de vos jambes laineuse.	
			
strophe	Even so, I must admire your skill.	Même ainsi, je me dois d'admirer votre talent.	
	You are so gracefully insane.	Vous êtes si gracieusement insensé.	
	We fidget in our plain chairs	Nous nous agitons sur nos simples chaises	
	and pretend to catalogue	et feignons de répertorier	
	our facts for your burly sorcery	les détails de votre enorme sorcellerie #9	#9: Le professeur a du « talent » ({skill}) et s'exprime « gracieusement » ({gracefully}). Mais son discours dépasse l'entendement des éléves, qui sont réduits à « s'agiter sur leur simples chaises » ({fidget in our plain chairs}). Le professeur est peut-être aussi simplement « insensé » ({insane}) dans ses explications, qui relèvent de la « sorcellerie » ({sorcery}).
			
strophe	or ignore your fat blind eyes	ou ignorons vos gros yeux aveugles #10	#10: Le professeur est devenu « aveugle » ({blind}) au sens figuré, il a perdu le contact avec la réalité et avec ses élèves.
	or the prince you ate yesterday	ou le prince que vous avez mangé hier #11	#11: « Le prince » ({prince}) représente le professeur tant admiré, qu'il était encore « hier » ({yesterday}), qui s'est changé lui-même en grenouille dans l'imagination de Sexton (voir la note #6). Le mot « mangé » ({ate}) ajoute un connotation à la fois tangible et animale à la métamorphose.
	who was wise, wise, wise.	qui était sage, sage, sage #12.	#12: Le mot « sage » ({wise}) représente ici la sagesse, la connaissance et la prudence. Le mot est répété trois fois. Le nombre « trois » est un symbole universel. La répétition renforce l'idée de sagesse. Elle rappelle aussi les trois points de suspension qui terminent une phrase, pour indiquer une pensée inachevée ou une fin silencieuse. Le poème est toutefois terminé par un point final.
			
source	Elegy In The Classroom, To Bedlam and part Way back, 1960	Élégie dans la classe, 03/2012	
			
url	2012/03/elegie-dans-la-classe.html		
image-src	https://lh6.googleusercontent.com/-M_w8rkTXKro/T3BbEsvHs4I/AAAAAAAAEHs/xkah2N8MEmY/s144/elegy-in-the-class-room.jpg		
image-href	https://picasaweb.google.com/lh/photo/3hnEAWjcZiEocrCJUXXjFdMTjNZETYmyPJy0liipFm0?feat=directlink		
