type	english	french	notes
title	In Celebration of My Uterus	En célébration #1 de mon utérus	#1: La tournure « en célébration de » ({in celebration of}) est un anglicisme. Elle est peu employée en français par rapport à d'autres expressions :  « en hommage à » ({in tribute to}), « en éloge à » ({in praise of}), « en l'honneur de » ({in honour of}). Cette tournure est retenue car la notion de « célébration » ({celebration}) est importante, et le sens est le même dans les deux langues.
			
strophe	Everyone in me is a bird.	Chacun #2 en moi est un oiseau.	#2: « Chacun en moi » ({everyone in me}) est une tournure inhabituelle en français comme en anglais, qui personnifie chaque partie de son corps.
	I am beating all my wings.	Je bats toutes mes ailes #3.	#3: Dans « Je bats [de] toutes mes ailes » ({I am beating all my wings}), l'article « de » est omis car le battement des ailes n'est pas destiné à l'envol mais représente le battement de la vie partout dans le corps.
	They wanted to cut you out	Ils #4 voulaient te #4b découper #5	"#4: « Ils » ({they}) représente les médecins de façon anonyme.
#4b: « Te » ({you}) représente l'utérus, considéré comme une personne à part entière.
#5: « Découper » traduit au mieux « {Cut [you] out} » (découper, extraire, supprimer). Sexton a été inquiétée quelques jours au sujet d'une possible hystérectomie. Elle explique son soulagement et son intention d'écrire un poème à ce sujet, dans une lettre à Robert Bly, le 18 octobre 1966, |voir|http://books.google.fr/books?id=o_BpgsXOZqgC&lpg=PA302&ots=pg_fNnmVbc&dq=sexton%20hysterectomy&hl=fr&pg=PA302#v=onepage&q=sexton%20hysterectomy&f=false| Anne Sexton: A Self-portrait in Letters by Linda Gray Sexton et Lois Ames, Mariner Books, 2004, p. 302."
	but they will not.	mais ils ne le feront pas.	
	They said you were immeasurably empty	Ils ont dit que tu étais incommensurablement #5b vide	#5b: « Incommensurablement » ({incommensurably}) traduit au mieux « {immeasurably} » car « immesurablement » n'est pas un mot du dictionnaire.
	but you are not.	mais tu ne l'es pas #5c.	#5c: Sexton n'était peut-être plus capable de procréer bien qu'elle n'eût que 38 ans (voir la note #5). Elle rejette l'image réductrice du rôle de la femme, destinée principalement à la procréation.  Sexton considère que l'utérus fait partie de l'intégrité de son être en tant que « femme » ({woman}).
	They said you were sick unto dying	Ils ont dit tu étais malade à en mourir	
	but they were wrong.	mais ils avaient tort.	
	You are singing like a school girl.	Tu chantes comme une écolière #5c.	#5c: « Utérus » ({uterus}) est neutre en anglais et masculin en français. Sexton personnifie naturellement l'utérus au féminin. « Écolière » ({schoolgirl}) reste toutefois préférable à « écolier » en français, malgré l'opposition des genres.
	You are not torn.	Tu n'es pas déchiré.	
			
strophe	Sweet weight,	Douce masse #6,	#6: « Masse » ({mass}) est préféré à « poids » ({weight}) pour conserver au mieux l'allitération.
	in celebration of the woman I am	en célébration #1 de la femme que je suis	
	and of the soul of the woman I am	et de l'âme de la femme que je suis	
	and of the central creature and its delight	et de la créature centrale et son plaisir #7	#7: « Plaisir » ({Pleasure}) est préféré à « joie » ({joy}) pour traduire « {delight} » (joie, délice, plaisir). Le ventre de la femme est le « centre » ({central}) du plaisir sexuel et des joies de la maternité.
	I sing for you. I dare to live.	je chante pour toi. J'ose vivre.	
	Hello, spirit. Hello, cup.	Bonjour, esprit. Bonjour, coupe #8.	#8: L'utérus joue le rôle d'une « coupe » ({cup}) qui récupère la semence puis le fruit de la procréation. Sexton lui ajoute une dimension spirituelle ({spirit}).
	Fasten, cover. Cover that does contain.	Fixer, couvrir. Couverture qui contient vraiment #9.	#9: « Couverture qui contient vraiment » traduit au mieux « {Cover that does contain} ». La tournure est inhabituelle en anglais comme en français car l'objet est absent.
	Hello to the soil of the fields.	Bonjour à la terre des champs.	
	Welcome, roots.	Bienvenues, racines.	
			
strophe	Each cell has a life.	Chaque cellule a une vie.	
	There is enough here to please a nation.	Il y a là assez pour satisfaire une nation.	
	It is enough that the populace own these goods.	Il suffit que le peuple #10 possède ces biens.	#10: « Peuple » ({people, populace}) est dans ce cas plus indiqué que « populace » ({mob, rabble, populace}) qui est vraiment méprisant en français par rapport à l'anglais. Le ton reste ironique car le devoir de procréation des femmes semble contenter le peuple, à qui « il suffit » ({it is enough}) de « posséder » ({own}) ces ventres.
	Any person, any commonwealth would say of it,	N'importe quelle personne ou république #11 dirait de cela,	#11: « République » ({republic}) est préféré à « communauté » ({community}), « nation » ({nation}) ou « état » ({state}) pour traduire « {|commonwealth|http://fr.wikipedia.org/wiki/Commonwealth_(homonymie)|} » (communauté, nation, république), qui n'a pas d'équivalent en français. Il conserve la notion d'autorité politique (nation), de communauté (peuple), et de biens publics. De plus, Sexton a vécu dans le Massachusetts, qui est l'un des quatre États portant le nom officiel de « |Commonwealth|http://fr.wikipedia.org/wiki/Commonwealth_(%C3%89tats-Unis)| ».
	“It is good this year that we may plant again	« C'est bien qu'on puisse encore planter cette année	
	and think forward to a harvest.	et penser à la prochaine récolte.	
	A blight had been forecast and has been cast out.”	La rouille avait été prévue et a été repoussée ».	
	Many women are singing together of this:	De nombreuses femmes #11b le chantent ensemble :	#11b: La liste qui suit, de ces « femmes » ({women}) qui travaillent ou s'affairent, rappelle la (longue) liste dans |Song of Myself|http://en.wikisource.org/wiki/Leaves_of_Grass/Book_III#15|, Leaves of Grass, de Walt Whitman, 1855.
