type	english	french	notes
title	Woman with Girdle	Femme avec gaine	
			
strophe	Your midriff sags toward your knees; 	Ton estomac s'affaisse vers tes genoux ;	
	your breast lie down in air, 	tes seins reposent dans l'air,	
	their nipples as uninvolved 	leurs mamelons aussi peu impliqués	
	as warm starfish. 	que de chaudes étoiles de mer.	
	You stand in your elastic case, 	Tu es debout dans ton étui élastique,	
	still not giving up the new born 	n'abandonnant pas encore le nouveau-né,	
	and the old born cycle. 	et le cycle qui mène au vieux-né.	
	Moving, you roll down the garment, 	Mouvement, tu descends le vêtement,	
	down that pink snapper and hoarder, 	vers le bas, rose, qui claque et amasse,	
	as your belly, soft as pudding, 	et ton ventre comme votre ventre, douce comme du pudding,	
	slops into the empty space; 	slops dans l'espace vide;	
	down, over the surgeon's careful mark, 	en bas, sur la marque attention du chirurgien,	
	down over hips, those head cushions 	vers le bas sur les hanches, les coussins de tête	
	and mouth cushions, 	et de la bouche des coussins,	
	slow motion like a rolling pin, 	le mouvement lent comme un rouleau à pâtisserie,	
	over crisp hairs, that amazing field 	plus de poils soyeux, ce champ étonnante	
	that hides your genius from your patron; 	qui cache votre génie de votre patron;	
	over thighs, thick as young pigs, 	sur les cuisses, épaisses comme les jeunes porcs,	
	over knees like saucers, 	genoux plus comme des soucoupes,	
	over calves as polished as leather, 	plus Veaux, poli que le cuir,	
	down toward the feet. 	vers le bas vers les pieds.	
	You pause for a moment, 	Vous faites une pause pendant un moment,	
	tying your ankles into knots. 	lacer vos chevilles en noeuds.	
	Now you rise, 	Maintenant, vous vous levez,	
	a city from the sea, 	une ville de la mer,	
	born long before Alexandria was, 	né bien avant Alexandrie était,	
	straighway from God you have come 	straighway de Dieu que vous avez venir	
	into your redeeming skin. 	dans votre peau rédemptrice.	
			
source	"|Woman with Girdle|http://www.poetryfoundation.org/poetrymagazine/browse/100/5#!/20588880|, All My Pretty Ones, 1962.
|Récité|http://www.dianemiddlebrook.com/sexton/wwg.wav| par Anne Sexton."	Femme avec gaine, 08/2015.	
			
url			
image-src			
image-href			
			
other			
			
			
translation-in-progress			
