type	english	french	notes
title	Woman with Girdle	Femme en gaine	
			
strophe	Your midriff sags toward your knees; 	Ton #1 estomac s'affaisse #1a vers tes genoux ;	"#1: choix du tutoiment
#1a: sag = descend, s'affaisse"
	your breasts lie down in air, 	tes seins sont posés #1b dans les airs,	#1b: Les seins ({breasts}), soutenus par la « gaine » ({girdle}), semblent « posés » ({laying}) « dans les airs » ({in air}). Le mot « s'allongent » ({lie down}) pourrait prêter à confusion, et « se couchent » ({lie down}) est moins apropriésque « sont posés » ({are laid down}).
	their nipples as uninvolved 	leurs mamelons aussi inertes #2	#2: Les « mamelons » ({nipples}) ne sont plus « impliqués » ({involved}) dans aucune vie sexuelle. Le mot « inerte » ({inert, inactive}) est toutefois retenu.
	as warm starfish. 	que de tièdes #3 étoiles de mer #4.	"#3: Les seins sont devenus « tièdes » ({lukewarm, warm}), et non « chauds » ({hot, warm}), car ils ont perdu leur chaleur liée à l'énergie sexuelle.
#4: Le mamelon rappelle la forme d'une « étoile de mer » ({starfish})."
	You stand in your elastic case, 	Tu te tiens dans ton fourreau élastique,	
	still not giving up the new born 	pas encore prête à abandonner le cycle	
	and the old born cycle. 	du nouveau-né au vieux-né.	
	Moving, you roll down the garment, 	Tu fais un geste, tu glisses #5 le vêtement rose,	#5: roll down = glisser
	down that pink snapper and hoarder, 	vers le bas, il comprime #6, il claque #7,	"#6: hoard = accumuler, amasser, comprimer
#7: snap = claquement de l'élastique"
	as your belly, soft as pudding, 	et ton ventre, mou comme du pudding,	
	slops into the empty space; 	déborde dans l'espace libéré;	
	down, over the surgeon's careful mark, 	plus bas, sur la marque minutieuse du chirurgien,	
	down over hips, those head cushions 	plus bas, sur des hanches, ces coussins faits	
	and mouth cushions, 	pour la tête et la bouche,	
	slow motion like a rolling pin, 	au ralenti comme avec un rouleau à pâtisserie,	
	over crisp hairs, that amazing field 	sur des poils frisés #8, ce champ stupéfiant	#8: crips = crépé, crépu, frisé
	that hides your genius from your patron; 	qui cache ton talent #9 de ton protecteur #10;	"#9: genius = genie, talent
#10: patron = client, habitué, usager, protecteur, patron, most women were dependant at that time"
	over thighs, thick as young pigs, 	sur des cuisses épaisses comme des porcelets,	
	over knees like saucers, 	sur des genoux tels des soucoupes,	
	over calves as polished as leather, 	sur des mollets aussi polis que du cuir,	
	down toward the feet. 	plus bas vers les pieds.	
	You pause for a moment, 	Tu t'arrêtes un instant,	
	tying your ankles into knots. 	lacer vos chevilles en noeuds.	
	Now you rise, 	Maintenant, vous vous levez,	
	a city from the sea, 	une ville de la mer,	
	born long before Alexandria was, 	né bien avant Alexandrie était,	
	straighway from God you have come 	straighway de Dieu que vous avez venir	
	into your redeeming skin. 	dans votre peau rédemptrice.	
			
source	"|Woman with Girdle|http://www.poetryfoundation.org/poetrymagazine/browse/100/5#!/20588880|, All My Pretty Ones, 1962.
|Récité|http://www.dianemiddlebrook.com/sexton/wwg.wav| par Anne Sexton."	Femme avec gaine, 08/2015.	
			
url			
image-src			
image-href			
			
other			
			
			
translation-in-progress			
