type	english	french	notes
title	Young	Jeune	
			
strophe	A thousand doors ago	C'était il y a #1 un millier de portes	#1: « C'était il y a » traduit au mieux « {ago} », plutôt que « Il y a » pour ne pas confondre avec une énumération. Le passage du temps est vu comme une succession de « portes » ({doors}) que l'on ouvre pour passer d'une pièce à l'autre, d'un moment à l'autre.
	when I was a lonely kid	quand j'étais une enfant solitaire #2	#2: Sexton était « une enfant solitaire » ({lonely kid}). Sa sœur aînée, {Jane}, était la préférée de son père. Sa sœur Blanche était considérée comme la plus intelligente des trois. Anne était la plus jeune et aussi la plus difficile.
	in a big house with four	dans une grande maison avec quatre	
	garages and it was summer	garages #3 et que l'été était là #4	"#3: Sexton a vécu dans un milieu aisé. Elle passait ses étés « dans une grande maison [de famille] avec quatre / garages » ({in a big house with four / garages}).
#4: « L'été était là » traduit au mieux « {it was summer} », plutôt que « c'était l'été » pour éviter la répétition."
	as long as I could remember,	autant que je puisse me souvenir,	
	I lay on the lawn at night,	j'étais étendue sur la pelouse la nuit,	
	clover wrinkling over me,	les trèfles se froissaient sur moi #5,	#5: « Les trèfles se froissaient sur moi » ({clover wrinkling over me}) est une image inhabituelle. On s'attend plutôt à ce que les trèfles plient sous elle. Sexton, adolescente, découvre la sensualité et imagine les trèfles comme un drap qui recouvre son corps.
	the wise stars bedding over me,	les étoiles sages se couchaient sur moi #6,	#6: Dans les « étoiles ... se couchaient sur moi » ({stars bedding over me}), Sexton s'invente un partenaire. L'image a une connotation sensuelle voir sexuelle, toutefois les étoiles sont « sages » ({wise}).
	my mother's window a funnel	la fenêtre de ma mère, un entonnoir	
	of yellow heat running out,	de chaleur jaune #7 qui se tarissait #8,	"#7: « Un entonnoir de chaleur jaune » ({a funnel of yellow heat}) symbolise l'amour maternelle, mais contre son attente il ne coule pas à flot. Sexton, adolescente, écrivait des poèmes. Sa mère l'a accusée de plagier. Sexton a alors arrêté d'écrire, et en a toujours voulu à sa mère.
#8: « Se tarissait » traduit au mieux « {running out} » plutôt que « s'échappait ». Sexton avait un véritable sentiment de rejet de la part de ses parents."
	my father's window, half shut,	la fenêtre de mon père, moitié fermée #9,	#9: « La fenêtre ... moitié fermée » ({window half shut}) traduit l’indifférence de son « père » ({father}) à son égard. Sexton revenait parfois de l'internat pour aller consulter un dermatologiste à cause de ses problème d’acné. Son père a un jour quitté la table prétextant que la vue de sa fille lui coupait l’appétit.
	an eye where sleepers pass,	un œil #10 où les dormeurs passent,	#10: La « fenêtre » ({window}) est personnifiée par un « œil » ({eye}). C'est l’œil à travers lequel elle identifie son père à des « dormeurs » ({sleepers}) ou des gens de passage dans la chambre. L’œil symbolise aussi sont désir d'être remarquée et reconnue. Sexton était une belle jeune fille, elle cherchait activement à séduire les garçons.
	and the boards of the house	et les planches de la maison	
	were smooth and white as wax	étaient lisses et blanches comme la cire	
	and probably a million leaves	et probablement un million de feuilles	
	sailed on their strange stalks	voguaient sur leurs étranges tiges	
	as the crickets ticked together	alors que les criquets cliquetaient ensemble	
	and I, in my brand new body,	et moi, dans mon corps tout neuf,	
	which was not a woman's yet,	qui n'était pas encore celui d'une femme,	
	told the stars my questions	je posais mes questions aux étoiles	
	and thought God could really see	et pensais que Dieu pourrait vraiment voir	
	the heat and the painted light,	la chaleur et la lumière peinte,	
	elbows, knees, dreams, goodnight.	les coudes, les genoux, les rêves, bonne nuit.	
			
source	All My Pretty Ones, 1962.	Jeune, 2/2013.	
			
url	2013/02/jeune.html		
image-src	https://lh5.googleusercontent.com/-OXnT2yuyoyw/USt2EgSPT2I/AAAAAAAAE-g/hvYNd7_lpfY/s144/woman-lying-in-the-grass-at-night.jpg		
image-href	https://picasaweb.google.com/lh/photo/EIDUEtggJc1nn1IPJe3-uRJvpRNiIfCijgPTVuZwhv4?feat=directlink		
