type	english	french	notes
title	The Ballad of the Lonely Masturbator	La ballade de la masturbatrice solitaire	
			
strophe	The end of the affair is always death.	La fin de la liaison #1, c'est toujours la mort.	#1: « La fin de la liaison » ({the end of the affair}) rappelle l'aventure passionnelle que Sexton a eue avec son psychiatre, le docteur Zweizung, pendant quelques mois, jusqu'à début novembre 1966. Sexton n'était pas heureuse dans son mariage. Le docteur était lui-même marié. Il décida d'abandonner Sexton, à contrecoeur, lorsque sa femme découvrit leurs poèmes d'amour. La référence à cette liaison n'est toutefois pas explicite, d'ailleurs Sexton se présente comme victime (voir la note #24).
	She’s my workshop. Slippery eye,	Il #2 est mon atelier #3. Oeil #4 glissant #5,	"#2: « Il » est utilisé au lieu de « elle » ({she}) car il s'agit du sexe féminin, qui est masculin en français. Le mot est du genre neutre en anglais, mais il est personnifié et prend le genre féminin dans le poème.
#3: Un « atelier » ({workshop}) est certes l'endroit où se pratiquent des activités manuelles, mais il est aussi le lieu où l'artiste élabore son œuvre. L'acte de masturbation est comparé à un acte de création, par opposition à la mort qui sonne la fin de la liaison.
#4: Cet « oeil » ({eye}) représente la partie intime de la femme qui s'ouvre au monde comme un oeil. L'ensemble des perceptions du monde extérieur sont réduites ou concentrées à celle de cet oeil, source de vision, qui au sens figuré devient source de sensations de plaisir.
#5: Le mot « glissant » ({slippery}) traduit certes l'état d'excitation sexuelle au sens propre, mais « {slippery} » veut dire aussi insaisissable au sens figuré, par opposition au caractère tangible de la relation à deux."
	out of the tribe of myself my breath	de la tribu de moi-même #6 mon souffle	#6: « La tribu de moi-même » ({the tribe of myself}) représente, de façon métaphorique, le corps de Sexton, qui se sent brisée en morceaux, et anéantie. Sexton dit plus loin qu'elle s'est « brisée comme une pierre se brise » (voir la note #30). Il faut noter que ce poème a été écrit durant sa convalescence, après s'être cassé la hanche en chutant dans un escalier.
	finds you gone. I horrify	te trouve parti #7. Je fais horreur	#7: Dans « mon souffle/te trouve parti » ({my breath/finds you gone}), le souffle ({breath}) représente le halètement de plaisir ({panting}), et aussi la force vitale qui reste en elle, malgré la fin de la liaison. Mais, l'écho du souffle de l'amant « parti », est absent.
	those who stand by. I am fed.	à ceux qui se tiennent là #8. Je suis nourrie #9.	"#8: « Ceux qui se tiennent là » ({those who stand by}) sont les lecteurs de ces lignes, tels des spectateurs ({bystanders}), que la masturbation, publiquement avouée, choque ou horrifie ({horrify}). Du temps de Sexton, les désirs et le plaisir sexuel des femmes étaient des sujets rarement abordés. « La femme était dépouillée de sa dimension érotique pour être réduite à sa dimension de génitrice et de mère », d'après « |Sexologie contemporaine|http://books.google.fr/books?id=vPOUbU2ClcMC&lpg=PA2&pg=PA127#v=onepage&q&f=false| » de Crépault, Lévy, Gratton.
#9: La masturbatrice est satisfaite, « nourrie » ({fed}), mais sans être « repue » ({sated}) car l'amant est absent."
	At night, alone, I marry the bed.	La nuit, seule, je me marie avec le lit #10.	#10: « Je me marie avec le lit » ({I marry the bed}) est une belle image du plaisir solitaire féminin, avec toutefois une note d'autodérision. On imagine le drapé du lit se substituant à la robe de la mariée. Son mariage avec le lit signifie son acceptation de la solitude.
			
	Finger to finger, now she’s mine.	Doigt à doigt #11, maintenant il est à moi.	#11: « Doigt à doigt » traduit au mieux « {finger to finger} ». Il ne s'agit pas seulement des doigts de la main, et du passage d'un doigt à l'autre ({from finger to finger}), mais plutôt d'un doigt contre l'autre ({finger against finger}). Le deuxième doigt est une représentation symbolique du clitoris, cible privilégiée de la masturbation féminine. Le corps de Sexton devient un substitut du partenaire absent, et se tend la main à lui-même, index contre index.
