type	english	french	notes
title	The Moss of His Skin	La mousse de sa peau	
			
introduction	Young girls in old Arabia	Les jeunes filles dans l'ancienne Arabie	
	were often buried alive next to their dead fathers,	étaient souvent enterrés vivantes à côté de leur père défunt,	
	apparently as sacrifice to the goddesses of the tribes...	apparemment comme un sacrifice aux déesses des tribus...	
	Harold Feldman, “Children of the Desert”	Harold Feldman, “Les enfants du désert”	
	Psychoanalysis and Psychoanalytic Review, Fall 1958	Psychoanalysis and Psychoanalytic Review, Fall 1958	
			
strophe	It was only important	Il était seulement important	
	to smile and hold still,	de sourire et rester immobile #1,	#1: La jeune fille joue le rôle qui lui est demandé, et se contente « de sourire et rester immobile » ({to smile and hold still}). Cette attitude n'est pas sans rappeler le rôle d'obéissance qui était encore attendu des femmes au milieu du 20e siècle, et auquel Sexton ne pouvait se conformer.
	to lie down beside him	de se coucher à côté de lui #2	#2: Le père de Sexton était absent souvent et longtemps lorsqu'elle était enfant. Elle était la plus jeune des trois sœurs, et n'a jamais attiré l'attention de son père, qui préférait sa sœur Blanche. Sexton s'identifie à la jeune fille. Malgré les circonstances, « se coucher à côté de lui » ({to lie down beside him}) permet à la jeune fille de passer un moment privilégié avec son père.
	and to rest awhile,	et se reposer un moment #3,	#3: La jeune fille ne comprend pas encore qu'elle ne va pas seulement « se reposer un moment » ({to rest awhile}), mais qu'elle n'en reviendra pas.
	to be folded up together	de se replier ensemble	
	as if we were silk,	comme si nous étions de la soie #4,	#4: La « soie » ({silk}) est symbole de richesse, de douceur, et de légèreté, en totale opposition avec l'horreur de la réalité.
	to sink from the eyes of mother	de se détourner #5 des yeux de mère	#5: Le verbe « se détourner de » traduit au mieux « {to sink from} ».
	and not to talk.	et ne pas parler #6.	#6: Le thème du |complexe d'Électre|http://fr.wikipedia.org/wiki/Complexe_d%27%C3%89lectre|, l'amour du père et la haine de la mère, est récurrent dans l'oeuvre de Sexton. Il est traité de manière très directe ici : « de se replier ensemble/comme si nous étions de la soie/de se détourner des yeux de mère/et ne pas parler » ({to be folded up together/as if we were silk/to sink from the eyes of mother/and not to talk}) a une connotation sensuelle, sexuelle même.
	The black room took us	La chambre noire nous a pris #7	#7: « La chambre nous a pris » ({the room took us}) est traduit littéralement, pour conserver l'association inhabituelle de ces termes. En effet, une chambre ne prend pas vraiment des gens, même en anglais. Le verbe « avaler » ({swallow}) par exemple aurait pu sembler plus approprié, mais l'auteur a choisi autrement.
	like a cave or a mouth	comme une caverne ou une bouche	
	or an indoor belly.	ou un ventre intérieur.	
	I held my breath	Je retenais mon souffle	
	and daddy was there,	et papa était là,	
	his thumbs, his fat skull,	ses pouces, son gros crâne,	
	his teeth, his hair growing	ses dents, ses cheveux #8 poussant	#8: « Papa était là/ses pouces, son gros crâne/ses dents, ses cheveux » ({daddy was there/his thumbs, his fat skull/his teeth, his hair}) est une image très forte qui décrit bien l'angoisse naissante de la jeune fille, palpant le corps inerte de son père dans le noir.
