type	english	french	notes
title	The Starry Night	La nuit étoilée	
			
introduction	“That does not keep me from having a terrible need of	« Cela n’empêche que j’ai un besoin terrible de	
	— shall I say the word — religion.	- dirai je le mot - religion #1,	#1: La « religion  » ({religion}) a été importante dans la vie de |Van Gogh|http://fr.wikipedia.org/wiki/Vincent_van_Gogh|. Il se destinait à être pasteur. Il a suivi des cours de théologie, mais n'a pas réussi ses examens. Il a été prédicateur quelque temps avant de se consacrer à la peinture.
	Then I go out at night to paint the stars.”	alors je vais la nuit dehors pour peindre les étoiles #2. »	#2: Van Gogh expliquait, dans une |lettre|http://www.vangoghletters.org/vg/letters/let782/letter.html| à son frère Théo, datée du 29 juin 1889, peu après la réalisation de « |La Nuit étoilée|http://fr.wikipedia.org/wiki/Nuit_%C3%A9toil%C3%A9e_(cypr%C3%A8s_et_village)| », qu'il ne souhaitait pas faire un retour au romantique ou à des idées religieuses. Au contraire, il cherchait à peindre la nature et les êtres humains avec plus de pureté et de sérénité, grâce à l'emploi d'une couleur et d'un dessin plus volontaire. Van Gogh a peint  cette toile lors de son internement de plein gré, dans l'asile du monastère Saint-Paul-de-Mausole à Saint-Rémy-de-Provence, après une très forte crise qui dura tout l'été.
	Vincent Van Gogh in a letter to his brother	Vincent Van Gogh dans une lettre #3 à son frère	#3: Cette citation est extraite d'une |lettre|http://vangoghletters.org/vg/letters/let691/letter.html#original| de Van Gogh à son frère Théo, écrite en français, datée du 29 septembre 1888. Il a peint la « |Nuit étoilée sur le Rhône|http://fr.wikipedia.org/wiki/Nuit_%C3%A9toil%C3%A9e_sur_le_Rh%C3%B4ne| » peu après. Puis, il a peint « La Nuit étoilée », qui est le sujet de ce poème en mai 1889, soit presque un an après cette lettre.
			
strophe	The town does not exist	La ville #4 n'existe pas	#4: « La ville » ({the town}) est Saint-Rémy-de-Provence, vue depuis la chambre de Van Gogh dans l'asile du monastère Saint-Paul-de-Mausole. Les Alpilles apparaissent au loin. La vue ne correspond pas toutefois à la réalité.
	except where one black-haired tree slips	excepté là où un arbre à chevelure noire #5 se glisse	#5: « Un arbre à chevelure noire » traduit au mieux « {one black-haired tree} » pour conserver la métaphore. L'arbre est un |cyprès|http://fr.wikipedia.org/wiki/Cypr%C3%A8s#Utilisation_symbolique|, symbole de la vie éternelle avec son feuillage toujours vert et des fruit en permanence. C'est aussi l'arbre des cimetières, donc associé à la mort. L'arbre est noir car il est en contre-jour du ciel illuminé par les étoiles.
	up like a drowned woman into the hot sky.	et s'élève comme une noyée dans le ciel #6 chaud.	#6: « Se glisse/et s'élève » traduit au mieux « {slips/up} » pour conserver à la fois le mouvement de glissement et d'ascension. La vision de cette femme, dont on ne voit que la chevelure flottant dans le ciel, dans lequel elle s'est « noyée », est saisissante.
	The town is silent. The night boils with eleven stars.	La ville est silencieuse. La nuit bouillonne #7 avec onze étoiles #8.	"#7: « La nuit bouillonne » ({the night boils}) et « le ciel [est] chaud » ({the hot sky}). Par opposition, « la ville est silencieuse » ({the town is silent}), au point de ne pas exister. Dans la réalité, la vie est dans la ville, même la nuit. Mais la perception qu'en a cette femme est différente. À travers son suicide, elle semble s'élever vers une mort qui a les propriétés de la vie : chaleur, lumière et mouvement.
#8: Les « onze étoiles » ({eleven stars}) rappellent ce verset de la bible (|Genèse 37:9|http://lire.la-bible.net/index.php?reference=Romains+13:11&versions[]=BFC|) : « Joseph fit un autre rêve et le raconta également à ses frères. J'ai de nouveau rêvé, dit-il : Le soleil, la lune et onze étoiles venaient s'incliner devant moi. » Le ciel étoilé confère un caractère mystique à la scène."
	Oh starry starry night! This is how	Oh, nuit étoilée, si étoilée #9 ! C'est ainsi que	#9: « Nuit étoilée, si étoilée » traduit au mieux la |palilogie|http://fr.wikipedia.org/wiki/Palilogie| « {starry starry night} » avec l'ajout du mot « si », en améliorant la fluidité sans vraiment en changer l'intensité.
	I want to die.	je veux mourir #10.	#10: Sexton s'identifie à la femme qui s'est noyée. « C'est ainsi que/je veux mourir » ({this is how/I want to die}) apparaît comme l'issue naturelle à cette idéalisation du suicide telle que Sexton la décrit dans chaque strophe.
			
strophe	It moves. They are all alive.	Ça bouge. Elles sont toutes vivantes.	
	Even the moon bulges in its orange irons	Même la lune enfle dans ses fers orange #11	#11: La « lune » ({moon}) est entourée d'un halo formé de cercles concentriques jaune orangé, et semble donc emprisonnée dans « ses fers orange » ({its orange irons}). Pourtant, elle « enfle » ({bulges}) comme si elle était enceinte (voir la note #12). Le mot « fers » peut désigner aussi les instruments pour boucler ou lisser les cheveux : « le fer à cheveux » ({hair iron}). La lune s'est peut-être faite belle pour l'occasion. Notez que la lune est du genre neutre en anglais, mais souvent utilisée au féminin de façon figurative comme en poésie.
	to push children, like a god, from its eye.	pour pousser les enfants #12, comme un dieu, hors de son œil.	#12: La lune « pousse les enfants » ({push children}), que sont les étoiles, à qui elle vient de donner naissance. Ce ciel de nuit étoilé est le siège d'un acte de création d'ordre divin.
	The old unseen serpent swallows up the stars.	Le vieux serpent, passant inaperçu, engloutit les étoiles #13.	#13: « Le vieux serpent, passant inaperçu » traduit au mieux « {the old unseen serpent} ». Le serpent est bien visible dans le ciel avec sa forme de tourbillon allongé, mais il est - littéralement - « non vu » ({unseen}) ou inaperçu. Le serpent est « vieux » ({old}), alors il se contente de prendre la vie, contrairement à la lune qui la donne. Il « engloutit les étoiles » ({swallows up the stars}), par opposition à la lune qui les engendre. Le serpent représente la mort qui rode sournoisement. Le ciel de la nuit est donc aussi le siège du jeu de la vie et de la mort.
	Oh starry starry night! This is how	Oh, nuit étoilée, si étoilée ! C'est ainsi que	
	I want to die:	je veux mourir :	
			
strophe	into that rushing beast of the night,	à l’intérieur de cette bête #14 surgissant dans la nuit #15,	"#14: Sexton désire être aspirée « à l'intérieur de cette bête » ({into that [...] beast}), comme si elle allait revenir à un état prénatal à l’intérieur d'un ventre. Le suicide serait alors une sorte de renaissance.
#15: « Cette bête surgissant dans la nuit » traduit au mieux « {that rushing beast of the night} ». La bête appartient au monde de la nuit, dont elle surgit."
	sucked up by that great dragon, to split	aspirée par ce grand dragon, pour me séparer	
	from my life with no flag,	de ma vie avec ni drapeau #16,	#16: Le « drapeau  » ({flag}) représente la reconnaissance des autres, dont Sexton n'aurait pas besoin car cette mort serait comme un combat solitaire.
	no belly,	ni ventre #17,	#17: Le « ventre » ({belly}) est le centre de sensations telles que la peur, le courage, la nausée, le plaisir. C'est aussi l'endroit de la procréation. Sexton abandonnerait sans regret son enveloppe corporelle.
	no cry.	ni cri #18.	"#18: Le « cri » ({cry}) représente le souffle de la « vie dont elle voudrait se séparer » ({to split/from my life}), et aussi la souffrance de cette mort, qu'elle accepterait volontiers, en silence, peut-être aussi pour ne pas déranger cette « ville qui n'existe pas » ({the town [that] does not exist}).
« Avec ni drapeau/ni ventre/ni cri » traduit au mieux « {with no flag/no belly/no cry} » pour reproduire un rythme équivalent avec la répétition de la négation « ni » ({no}), et le raccourcissement des vers, comme si le poème s'évanouissait de lui-même."
			
source	|The Starry Night|http://www.poetryfoundation.org/poem/171273|, All My Pretty Ones, 1962, poetryfoundation.org	"La nuit étoilée, 4/2011
|Récité|http://youtu.be/ZgoEy_nMgBc| par Anne Sexton"	
			
url	2011/04/la-nuit-etoilee.html		
image-src	https://lh5.googleusercontent.com/-l2KsQOfvPMc/TbKvGaCRtuI/AAAAAAAAC8c/SyYr7OpK09w/s144/van-gogh-starry-night.jpg		
image-href	https://picasaweb.google.com/lh/photo/IbIOmC-CRdSCY-dDyqwJuNMTjNZETYmyPJy0liipFm0?feat=directlink		
			
other	Autres ressources	"|{Picture Analysis of ‘Starry Night’ by Vincent van Gogh}|http://www.degree-essays.com/coursework/art-essays/picture-analysis-of-starry-night-by-vincent-van-gogh/|, degree-essays.com
Johannes van der Wolk. |Vincent Van Gogh, {Paintings}|http://www.artchive.com/artchive/V/van_gogh/starry_night_text.jpg.html|, Rizzoli, 1990, artchive.com
Jansen, Luijten, Bakker. |Vincent Van Gogh, {The Letters}|http://vangoghletters.org/vg/|, 2009, vangoghletters.org"	
