type	english	french	notes
title	The Room of My Life	La pièce de ma vie	
			
strophe	Here,	Ici,	
	in the room of my life	dans la pièce de ma vie	
	the objects keep changing.	les objets ne cessent de changer.	
	Ashtrays to cry into,	Les cendriers pour pleurer dedans,	
	the suffering brother of the wood walls,	le frère, en souffrance, des murs en bois	
	the forty-eight keys of the typewriter	les quarante-huit touches de la machine à écrire	
	each an eyeball that is never shut,	chacune un globe oculaire qui n'est jamais fermé,	
	the books, each a contestant in a beauty contest,	les livres, chacun un candidat à un concours de beauté,	
	the black chair, a dog coffin made of Naugahyde,	la chaise noire, un cercueil pour chien fait en skaï,	
	the sockets on the wall	les prises sur le mur	
	waiting like a cave of bees,	qui attendent comme une grotte d'abeilles,	
	the gold rug	le tapis d'or	
	a conversation of heels and toes,	une conversation de talons et d'orteils,	
	the fireplace	la cheminée	
	a knife waiting for someone to pick it up,	un couteau qui attend quelqu'un pour le ramasser,	
	the sofa, exhausted with the exertion of a whore,	le canapé, épuisé par les efforts d'une putain,	
	the phone	le téléphone	
	two flowers taking root in its crotch,	deux fleurs qui prennent racine dans son entrejambe,	
	the doors	les portes	
	opening and closing like sea clams,	qui ouvrent et ferment comme des palourdes,	
	the lights	les lumières	
	poking at me,	qui me piquent,	
	lighting up both the soil and the laugh.	éclairant à la fois le sol et le rire.	
	The windows,	Les fenêtres,	
	the starving windows	les fenêtres affamées	
	that drive the trees like nails into my heart.	qui entraînent les arbres comme des clous dans mon cœur.	
	Each day I feed the world out there	Chaque jour, je nourris le monde au-dehors	
	although birds explode	bien que les oiseaux explosent	
	right and left.	de droite à gauche.	
	I feed the world in here too,	Je nourris le monde ici aussi,	
	offering the desk puppy biscuits.	en offrant au bureau des biscuits pour chiot.	
	However, nothing is just what it seems to be.	Cependant, rien n'est vraiment ce qu'il a l'air d'être.	
	My objects dream and wear new costumes,	Mes objets rêvent et portent de nouveaux costumes,	
	compelled to, it seems, by all the words in my hands	contraints, paraît-il, par tous les mots dans mes mains	
	and the sea that bangs in my throat.	et la mer qui cogne dans ma gorge.	
			
source	|The Room of My Life|http://www.poetryfoundation.org/poem/171276|, The Awful Rowing toward God, 1975.	La pièce de ma vie, 05/2014.	
			
url	2014/05/la-piece-de-ma-vie.html		
image-src	https://lh4.googleusercontent.com/-wcyN5w2fBRM/U3ZOM7xiXnI/AAAAAAAAFr8/uJG6PHeSmDA/s144/the-room-of-my-life.jpg		
image-href	https://picasaweb.google.com/lh/photo/gsIc4X3oToNpfJ4xyNgYhNMTjNZETYmyPJy0liipFm0?feat=directlink		
			
other			
