type	english	french	notes
title	The Truth the Dead Know	La vérité que les morts connaissent	
			
introduction	For my mother, born March 1902, died March 1959	Pour ma mère, née en mars 1902, décédée en mars 1959	
	and my father, born February 1900, died June 1959	et mon père, né en février 1900, décédé en juin 1959	
			
strophe	Gone, I say and walk from church,	Partis #1, je dis et m'éloigne de l'église,	#1: « Partis » ({Gone}) est traduit au pluriel, car le poème est dédié aux deux parents de Sexton qui sont décédés récemment.
	refusing the stiff procession to the grave,	refusant la procession rigide vers la tombe,	
	letting the dead ride alone in the hearse.	laissant le défunt voyager seul dans le corbillard.	
	It is June. I am tired of being brave.	C'est le mois de juin #2. Je suis fatiguée d'être courageuse.	#2: « C'est le mois de juin » ({It is June}), il s'agit donc de l'enterrement du père de Sexton. C'est aussi le mois de la transition entre le printemps et l'été, qui symbolisent la renaissance de la nature et la vie, en opposition avec la mort.
			
strophe	We drive to the Cape. I cultivate	Nous roulons vers Cap Cod #3. Je me revigore #4	"#3: Le lieu « |{Cap Cod}|http://fr.wikipedia.org/wiki/Cap_Cod| » est précisé, car « {the Cape} » n'a pas d'équivalent en français.
#4: Le verbe « revigorer » est choisi pour traduire « {cultivate} », en opposition avec la mort, et en résonance avec cette période de l'année, le mois de juin, symbole de vie (voir la note #2). Ce voyage va aider Sexton à récupérer et à se construire. Le mot « {cultivate} » suggère aussi la notion de croissance, d'une plante par exemple, comme en agriculture. L'expression « {I cultivate myself} » est probablement empruntée au texte « |{Song of myself}|http://www.whitmanarchive.org/published/LG/1891/poems/27| » de Walt Whitman, {Leaves of Grass} (1891-92), qui est un éloge à la vie."
	myself where the sun gutters from the sky,	là où le soleil ruisselle #5 du ciel,	#5: Le verbe « ruisseller » ({gutter}) exprime l'idée de lumière et de chaleur qui « coule » du soleil, en accord avec le thème de l'eau et de la mer qui est récurrent dans le poème. Le verbe « |{gutter}|http://www.chambersharrap.co.uk/chambers/features/chref/chref.py/main?title=21st&amp;query=gutter| » décrit aussi l'action de la cire lorsqu'elle « dégouline » le long d'une bougie à partir de la flamme. Le soleil joue le rôle de flamme. Le nom « {gutter} » vient du mot français « {gouttière} », et a la même signification.
	where the sea swings in like an iron gate	où la mer oscille comme un portail en fer	
	and we touch. In another country people die.	et nous nous touchons #6. Dans un autre pays #7, des gens meurent.	"#6: « Nous nous touchons » ({we touch}) nous révèle que Sexton est partie en voyage avec quelqu'un, probablement son mari. Le fait de pouvoir le toucher la reconnecte avec la vie.
#7: «  Dans un autre pays » ({In another country}) représente en fait la réalité, là où les parents de Sexton sont morts. Ce voyage l'éloigne donc non seulement dans l'espace, mais aussi la transporte dans une autre réalité qu'elle peut accepter."
			
strophe	My darling, the wind falls in like stones	Mon chéri, le vent s'abat comme des pierres #8	#8: Dans « le vent s'abat comme des pierres » ({the wind falls in like stones}), le vent est comparé à des pierres, à une grêle de pierres. Les pierres, dont on fait les tombes, la reconnecte à la réalité de la mort.
	from the whitehearted water and when we touch	venant de l'écume blanche de l'eau #9 et quand nous nous touchons	#9: « L'écume blanche de l'eau » traduit au mieux « {the whitehearted water} ». Le mot « {whitehearted} » est un mot inventé, probablement lié à « {white heart bead} », qui désigne une perle dont l'intérieur est blanc.
	we enter touch entirely. No one’s alone.	nous entrons entièrement en communion #10. Personne n'est seul.	#10: « Nous entrons entièrement en communion » traduit au mieux « {we enter touch entirely} ». Cette communion des corps a une connotation sensuelle, sexuelle même, en totale opposition avec la solitude de la mort.
	Men kill for this, or for as much.	Les hommes tuent pour cela #11, ou pour autant.	#11: Dans « les hommes tuent pour cela » ({Men kill for this}), la vie est directement et ironiquement reliée à la mort, puisque l'on tue au nom de la vie. Malgré cet éloignement des funérailles, il est difficile à Sexton d'échapper à l'idée de la mort.
			
