type	english	french	notes
title	With Mercy for the Greedy	Par pitié pour les gourmands #1	#1: Le titre est repris de la dernière strophe (voir la note #8b).
			
introduction	For my friend, Ruth, who urges me	Pour mon ami, Ruth #2, qui m'encourage à prendre	#2: Ruth Soter est une amie de Sexton, rencontrée en classe de poésie, |voir|http://books.google.fr/books?id=10n0bOSe0CMC&lpg=PA22&ots=oOd3eBLOti&dq=Ruth%20Soter&hl=fr&pg=PA22#v=onepage&q=Ruth%20Soter&f=false| Anne Sexton: Telling the tale, Steven Colburn, The University of Michigan Press, 1988, p. 22 |_ARCHIVE_|https://drive.google.com/file/d/0B1rsKSsJZ52IcVBLYlJBQVA5Vmc/edit?usp=sharing|.
	to make an appointment for the Sacrament of Confession	un rendez-vous pour le sacrement de la confession #2b	#2b: Sexton est une adepte de la confession à travers la poésie mais en dehors de la religion.
			
strophe	Concerning your letter in which you ask   	À propos de ta lettre dans laquelle tu me demandes #3	"#3: Le poème en anglais a une structure symétrique. La longueur des vers, et les rimes, sont basées sur deux motifs. Sexton semble se conformer à la tradition, tout en expérimentant. 
La première et la dernière strophe contiennent 7 vers chacune. Les trois premiers vers sont longs, et les trois derniers sont courts. Les vers 1 et 2 se terminent par le même mot. Les vers 3 et 7, et les vers 4 et 5 riment. Le vers 6 est sans rime. Les trois autres strophes contiennent 6 vers chacune. Les deux premiers vers sont courts, et les quatre derniers sont longs. Les vers 2 et 5, et les vers 3 et 6 riment. Les vers 1 et 4 sont sans rime.
La symétrie et l'alternance des longueurs ont pu être conservées dans la traduction, mais pas les rimes."
	me to call a priest and in which you ask   	d'appeler un prêtre et dans laquelle tu me demandes	
	me to wear The Cross that you enclose;   	de porter la croix que tu as jointe ;	
	your own cross,	ta propre croix,	
	your dog-bitten cross,	ta croix mordue par ton chien #3b,	#3b: Le mot « {dog} » (chien) s'oppose à la « croix » ({Cross}) de la Trinité, et donc à « Dieu » ({God}), par référence au |palindrome|http://fr.wikipedia.org/wiki/Palindrome| « {dog/god} ».
	no larger than a thumb,	pas plus grosse qu'un pouce,	
	small and wooden, no thorns, this rose—	petite et en bois, sans épines, cette rose… #4	#4: Le symbole « … » transcrit au mieux « — » pour terminer la parenthèse, à la façon d'un « ; » car la phrase continue.
			
strophe	I pray to its shadow,	je prie son ombre,	
	that gray place	cette zone grise	
	where it lies on your letter ... deep, deep.	où elle repose sur ta lettre #4c ... profondément, profondément.	#4c: Sexton n'est pas attirée par la lumière divine symbolisée par la croix, mais par « son ombre » ({its shadow}) sur la « lettre » ({letter}), là où sont les mots. La lettre est le lien avec la poésie.
	I detest my sins and I try to believe	Je déteste mes péchés et j'essaie de croire	
	in The Cross. I touch its tender hips, its dark jawed face,   	en la croix. Je touche ses tendres hanches #5, le visage dur et sombre,	#5: L'association des mots « tendres » ({tender}) et « hanches » ({hips}) est insolite dans ce contexte. Elle traduit la délicatesse du bois sculpté, et la fragilité de la position du crucifié.
	its solid neck, its brown sleep.	son cou solide, son sommeil brun #6.	#6: Le « sommeil brun » ({brown sleep}) représente la tête penchée, les yeux fermés, et la couleur du bois.
			
strophe	True. There is	C'est vrai. C'est là	
	a beautiful Jesus.	un beau Jésus.	
	He is frozen to his bones like a chunk of beef.	Il a les os gelés comme une pièce de bœuf #6b.	#6b: L’opposition entre le « beau Jésus » ({beautiful Jesus}) et « une pièce de bœuf » ({a chunk of beef}) est une image très forte. Sexton avoue être désorientée à propos du Christ, elle a dit : « Oh, je crois vraiment en Dieu ! c'est le Christ qui dépasse l'entendement. » ({Oh, I really believe in God -- it's Christ that boggles the mind.}), |voir|http://books.google.fr/books?id=10n0bOSe0CMC&lpg=PA276&ots=oOd3fzKLvm&dq=%22it's%20Christ%20that%20boggles%20the%20mind%22&hl=fr&pg=PA276#v=onepage&q=%22it's%20Christ%20that%20boggles%20the%20mind%22&f=false| Anne Sexton: Telling The Tale, Steven Colburn, The University of Michigan Press, 1988 |_ARCHIVE_|https://drive.google.com/file/d/0B1rsKSsJZ52IcjBQMWp5VXFWTHc/edit?usp=sharing|.
	How desperately he wanted to pull his arms in!	Comme il voulait désespérément refermer ses bras !	
	How desperately I touch his vertical and horizontal axes!   	Comme je touche désespérément ses axes verticaux et horizontaux !	
	But I can’t. Need is not quite belief.	Mais je ne peux pas. Avoir besoin n'est pas vraiment croire.	
			
strophe	All morning long   	Toute la matinée	
	I have worn	J'ai porté	
	your cross, hung with package string around my throat.   	ta croix, accrochée avec de la ficelle d'emballage autour de ma gorge.	
	It tapped me lightly as a child’s heart might,	Elle me tapotait légèrement comme le cœur d'une enfant le ferait,	
	tapping secondhand, softly waiting to be born.   	tapant indirectement #7, en attentant doucement de naître.	#7: « Indirectement » ({indirectly}) traduit au mieux « secondhand » utilisé ici comme un adverbe.
	Ruth, I cherish the letter you wrote.	Ruth, je chéris la lettre que tu as écrite.	
			
strophe	My friend, my friend, I was born   	Mon amie, mon amie, je suis né	
	doing reference work in sin, and born   	pour faire du travail de référence #7b dans le péché #8, et né	"#7b: « Pour faire du travail de référence » traduit au mieux « {doing reference work} ». Sexton compare le travail du poète à l'écriture d'ouvrages ou de textes utiles à tous pour s'y référer, afin de se renseigner ou apprendre.
#8: « In sin » ({dans le péché}) peut être interprété à la fois comme « dans le domaine du péché» et « en état de péché »."
	confessing it. This is what poems are:   	pour le confesser. C'est ce que les poèmes sont :	
	with mercy	par pitié	
	for the greedy,	pour les gourmands #8b,	#8b: « Pour les gourmands » traduit au mieux « {for the greedy} ». « Greedy » ({avide, gourmand, avare, cupide, glouton}) fait référence aux péchés capitaux : « {greed} » (avarice, cupidité) et « glutony » (gourmandise, gloutonnerie). Il s'agit ici des gourmands de la « langue » ({tongue, language}) et des « poèmes » ({poems}).
	they are the tongue’s wrangle,	ils sont les altercations de la langue #9,	#9: « Les altercations de la langue » ({the tongue’s wrangle}) sont représentées dans ce poème par les nombreuses oppositions, dans les sens des mots, dans les longueurs des vers, dans les motifs de rimes, et le palindrome.
	the world's pottage, the rat's star.	le potage #10 du monde, l'étoile #11 du rat #12.	"#10: La poésie est comparée au « potage » ({pottage}), nourriture de base de la population pendant des siècles.
#11: « L'étoile » ({star}) est un symbole positif utilisé dans les systèmes de notation comme pour les hôtels, la gastronomie etc.
#12: Le « rat » ({rat}) est par opposition le symbole du dégoût.
« |The rat's star|http://en.wikipedia.org/wiki/Rats_live_on_no_evil_star| » ({l'étoile du rat}) est un |palindrome|http://fr.wikipedia.org/wiki/Palindrome| impossible à reproduire dans la traduction. Il ajoute une touche d'autodérision au propos de Sexton sur le rôle du poète, en laissant le rat « apprécier leur potage »."
			
source	"|With Mercy for the Greedy|http://www.poetryfoundation.org/poem/171274|, All My Pretty Ones, 1962.
|Récité|https://www.youtube.com/watch?v=_bJQGcwnfLc| par Anne Sexton."	Par pitié pour les gourmands, 8/2014.	
			
url	2014/08/par-pitie-pour-les-gourmands.html		
image-src	https://lh6.googleusercontent.com/-FHbuvZtFLmg/U_RfDTFAJJI/AAAAAAAAGSM/aII1JCYdCUw/s144/mercy-for-the-greedy.jpg		
image-href	https://picasaweb.google.com/lh/photo/03RVI08jhMgQqAQdiezstdMTjNZETYmyPJy0liipFm0?feat=directlink		
			
other	Analyse	Meg Carter. |Anne Sexton and the Feminine Voice in American Poetry|http://www.damascusgate.org/AnneSexton.pdf|, damascusgate.org, 3/1989 |_ARCHIVE_|https://drive.google.com/file/d/0B1rsKSsJZ52IblY0dUZCSVkyUm8/edit?usp=sharing|.	
