type	english	french	notes
title	Her Kind	Son genre	
			
strophe	I have gone out, a possessed witch,	Je #1 suis sortie #2, sorcière possédée #3,	"#1: Le premier « je » ({I}) de chaque strophe représente la sorcière à laquelle Sexton s'identifie.
#2: Sexton était mal à l'aise vis à vis du comportement social qui était attendu d'elle, en tant que femme à la maison dans une banlieue aisée. Elle se sentait obligée de « sortir » ({go out}) de ce rôle, notamment en écrivant de la poésie. C'était aussi pour elle une thérapie pour l'aider à gérer l'instabilité de son état mental.
#3: La « sorcière possédée » ({a possessed witch}) représente la femme moderne, isolée et incomprise par la société de l'époque. Elle représente aussi l'état dépressif et la forme de folie dont Sexton était affectée, qui la rendait différente des autres femmes. Sexton a dit d'elle même : « Tout ce que je voulais, c'était une vie normale, me marier, avoir des enfants... J'ai essayé tout mon possible pour mener une vie ordinaire, c'est comme ça que j'ai été élevée, et c'est ce que mon mari voulait de moi. Mais on ne peut pas construire de petite clôture blanche pour garder les cauchemars à l'extérieur. »"
	haunting the black air, braver at night;	hantant l'air noir, plus courageuse la nuit #4 ;	#4: La sorcière se sent plus forte et « plus courageuse la nuit » ({braver at night}), à l’extérieur, lorsque les autres qui la rejettent sont chez eux à l'intérieur.
	dreaming evil, I have done my hitch	rêvant le mal #5, j'ai fait mon chemin	#5: « Rêvant le mal » ({dreaming evil}) est en fait la perception que les autres ont des intentions de la sorcière.
	over the plain houses, light by light:	par-dessus les maisons ordinaires #6, lumière après lumière #7:	"#6: « J'ai fait mon chemin/par-dessus les maisons ordinaires » traduit au mieux « {I have done my hitch/over the plain houses} ». La sorcière s'est attelée à survoler les toits des maisons, elle a accompli sa mission.
#7: La sorcière, ou Sexton, ne se laissera pas dompter par la société, mais va essayer de changer la perception de sa différence, ou le stéréotype de la femme moderne, de façon positive. Elle va apporter la « lumière » ({light}) de la vérité dans chaque « maison ordinaire » ({plain house}). La répétition du mot « lumière » ({light}) est en totale opposition avec le « noir » ({black}), la « nuit » ({night}) et le « mal » ({evil})."
	lonely thing, twelve-fingered, out of mind.	pauvre chose solitaire, avec mes douze doigts #8, oubliée #9.	"#8: « Avec mes douze doigts » ({twelve-fingered}) renforce l'idée de différence par rapport aux gens ordinaires.
#9: « Oubliée » traduit au mieux « {out of sight} », comme dans « Out of sight, out of mind » ({Loin des yeux, loin du cœur})."
	A woman like that is not a woman, quite.	Une femme comme ça n'est pas une femme, vraiment.	
	I have been her kind.	J'ai #10 été de son genre #11.	"#10: Dans les deux derniers vers de chaque strophe, « je » ({I}) représente Sexton elle-même en tant que narrateur (voir la note #1).
#11: « J'ai été de son genre » traduit au mieux « {I have been her kind} ». Sexton confirme qu'elle a été de la même espèce : une sorcière des temps modernes, aux yeux des autres. Elle commençait toujours ses lectures en public avec ce poème, en expliquant qu'il leur montrerait quel genre de femme elle était, et quel genre de poète."
			
strophe	I have found the warm caves in the woods,	J'ai #12 trouvé les grottes chaleureuses #13 dans les bois,	"#12: Dans cette strophe, « je » ({I}) représente la même sorcière à laquelle Sexton s'identifie (voir la note  #1), mais aussi la femme au foyer.
#13: « Les grottes chaleureuses » traduit au mieux « {the warm caves} »  dans lesquelles la sorcière trouve refuge, après avoir été rejetée par la société. Le thème de la lumière et de la chaleur est présent dans chaque strophe."
	filled them with skillets, carvings, shelves,	je les ai remplies de poêles, de figurines, d'étagères,	
	closets, silks, innumerable goods;	de placards #14, de soieries, d'innombrables biens #15 ;	"#14: Les mots « étagères » ({shelves}) et « placards » ({closets}) représentent l'idée d'ordre et de rangement. La sorcière fait son possible pour se conformer au stéréotype de la femme au foyer qui sait tenir sa maison en ordre.
#15: La sorcière se recrée son propre foyer avec des objets de la vie ordinaire. « Innombrables biens » ({innumerable goods}) contraste avec la solitude de la sorcière."
