type	english	french	notes
title	Venus and the Ark	Vénus #1 et l'arche #1b	"#1: « |Venus|http://fr.wikipedia.org/wiki/V%C3%A9nus_(plan%C3%A8te)| » ({Venus}) est la deuxième planète du système solaire, de taille comparable à la terre mais très chaude. La planète Vénus a été baptisée du nom de la |déesse Vénus|http://fr.wikipedia.org/wiki/V%C3%A9nus_(mythologie)| de la mythologie romaine. Vénus est la déesse de l'amour, de la séduction et de la beauté. Les dites Vénus de l'art pariétal symbolisent la féminité, la vie et la naissance, et la fécondité.
#1b: L’|arche|http://fr.wikipedia.org/wiki/Arche_de_No%C3%A9| fait référence au navire construit par Noé sur l'ordre de Dieu afin de sauver sa famille et toutes les espèces animales du Déluge."
			
strophe	The missile to launch a missile	Le missile à lancer un missile	
	was almost a secret.	était presque un secret.	
	Two male Ph.D.'s were picked	Deux hommes #1c avec un doctorat ont été choisis	#1c: « Deux hommes » ({two male[s]}) ont été « choisis » ({picked}) au lieu d'un homme et d'une femme comme dans l'arche de Noé. Ironie de l'histoire, ce choix va s'avérer malheureux.
	and primed to fill it	et informés #1d pour le remplir	#1d: Les deux hommes ont été « informés » ({informed}), « préparés, mis au courant, au fait » ({primed}), ils n'ont pas été formellement « entraînés » ({formed, trained}).
	and one hundred	et une centaine	
	carefully counted insects,	d'insectes soigneusement comptés,	
	three almost new snakes,	trois #2 serpents nouveaux ou presque #2b,	"#2: Seuls les serpents sont en nombre impair : « trois » ({three}). Le serpent est, dans la culture judéo-chrétienne, le symbole de la tentation et du mal (|Gn 2, 16-17|http://fr.wikisource.org/wiki/Gen%C3%A8se_3|), par opposition au nombre |trois|http://fr.wikipedia.org/wiki/Trois#En_philosophie.2C_religion.2C_histoire| qui est un symbole généralement positif, par exemple la Trinité etc.
#2b: « Nouveau ou presque » traduit au mieux « {almost new} ». C'est peut-être une référence à la mue inachevée des serpents, ou au fait qu'ils ont déjà « servi » dans d'autres circonstances, comme dans la genèse pour faire le mal."
	coiled in a cube,	enroulés dans un cube,	
	exactly fifty fish creatures	exactement cinquante créatures marines #3	#3: « Créatures marines » ({fish creatures}) est préféré à « poissons » ({fish}) pour conserver la notion de « créature ».
	in tanks, the necessary files,	dans des cuves #3b, les documents requis #4,	"#3b: « Cuves » ({tanks}) est préféré à « aquariums » ({fishtanks}) car moins spécifique comme en anglais dans le texte.
#4: « Documents requis » traduit au mieux « {necessary files} » (dossiers, fichiers nécessaires), utilisés pour le suivi scientifique ou par les douanes."
	twenty bars of food, ten brief cures,	vingt barres de nourriture, dix traitements courts,	
	special locks, fourteen white rats,	des verrous spéciaux, quatorze #4b rats blancs,	#4b: « Quatorze » ({fourteen}) correspond à sept paires de « rats » ({rats}). Il est dit dans la Genèse (|Gn 7, 2|http://fr.wikisource.org/wiki/Gen%C3%A8se_7|) : « Tu prendras auprès de toi sept couples de tous les animaux purs, le mâle et sa femelle ; une paire des animaux qui ne sont pas purs, le mâle et sa femelle ». Sexton considère les rats comme des animaux purs, par contradiction, alors qu'ils sont vecteurs de maladies comme la peste.
	fourteen black rats, a pouch of dirt,	quatorze #4b rats noirs, un sac de terre,	
	were all stuffed aboard before	ont tous été enfournés à bord avant	
	the thing blasted from the desert.	que la chose ne jaillisse #5 du désert.	#5: « Jaillisse » (spout out) traduit au mieux « blasted from » (exploser, souffler hors de).
			
strophe	And the missile that launched	Et le missile qui lançait	
	a missile launched out	un missile s'élança	
	into a marvelous scientific balloon	en #6 un merveilleux ballon scientifique	#6: « S'élança en » traduit au mieux « {Launched out into} » (se lança dans). La tournure est inhabituelle en anglais dans ce contexte, elle est toutefois conservée. Elle décrit l'idée de lancement et de transformation simultanés.
	that rolled and bobbed about	qui se balançait et flottait	
	in the mists of Venus; suddenly	dans les brumes de Vénus ; soudain	
	sank like a sweet fat grape,	sombra comme un grain de raisin bien charnu #7,	#7: « Grain de raisin bien charnu » traduit au mieux « {sweet fat grape} » (grain de raisin gros et doux).
	oozing past gravity to snuggle	suintant avec la gravité pour se blottir	
	down upon the triumphant shape	plus bas contre cette forme triomphante	
	of space. The two men signaled	de l'espace. Les deux hommes ont envoyé un signal	
	Earth, telling their Continent	vers la Terre, disant à leur continent	
	VENUS IS GREEN. And parades assembled,	VENUS EST VERTE. Et des défilés se sont formés,	
	the loud earth tellers spent	les bruyants conteurs ~terriens, sur Terre~ ont passé	
	all fifteen minutes on it, even	une bonne quinzaine de minutes dessus, ils ont même	
	shortened their weather forecast.	raccourci leur bulletin météo.	
	But rival nations, angry and oily,	Mais les nations rivales, furieuses et mielleuses #8,	#8: « Mielleuse » traduit au mieux ({|oily|http://dicfro.local/search/wiktionary/oily|}), utilisé ici au sens figuratif.
	fired up their best atom blast	ont déclenché leur meilleure explosion atomique	
	and the last Earth war was done.	et la dernière guerre sur Terre fut faite.	
