type	english	french	notes
title	Wanting to die	Vouloir mourir	
			
strophe	Since you ask, most days I cannot remember.	Puisque vous le demandez, la plupart du temps je ne me souviens pas. 	
	I walk in my clothing, unmarked by that voyage.   	Je marche tout habillée #1, sans être marquée par ce voyage #2. 	"#1: « Je marche tout habillée » traduit au mieux « {I walk in my clothes} ». 
#2: La vie de Sexton est comme un « voyage » ({voyage}), parsemé de tentatives de suicides, dans lequel elle « marche » ({walk}) simplement « toute habillée » ({in my clothing}), « sans [en] être marquée » ({unmarked}) ou affectée."
	Then the almost unnameable lust returns.	Puis ~ce désir charnel, cet ardent désir~ #3 presque innommable revient. 	#3: « Ce désir charnel » traduit au mieux « {lust} » (désir, luxure). Le suicide est qualifié ici de « désir ardent » avec une connotation sexuelle, au point d'être « innommable » ({unnameable}).
			
strophe	Even then I have nothing against life.	Même à cet instant je n'ai rien contre la vie. 	
	I know well the grass blades you mention,   	Je connais bien les brins d'herbe que vous mentionnez, 	
	the furniture you have placed under the sun.	les meubles que vous avez placés sous le soleil. 	
			
strophe	But suicides have a special language.	Mais les suicides ont un langage particulier. 	
	Like carpenters they want to know which tools.	Comme les charpentiers ils veulent connaître les outils. 	
	They never ask why build.	Ils ne demandent jamais pourquoi on construit. 	
			
strophe	Twice I have so simply declared myself,   	Deux fois je me suis déclarée si simplement, 	
	have possessed the enemy, eaten the enemy,   	j'ai possédé l'ennemi, mangé l'ennemi, 	
	have taken on his craft, his magic.	acquis son art, sa magie.	
			
strophe	In this way, heavy and thoughtful,   	De cette façon, lourde et pensive, 	
	warmer than oil or water,	plus chaude que l'huile ou l'eau, 	
	I have rested, drooling at the mouth-hole.	je me suis reposée, bavant la bouche ouverte. 	
			
strophe	I did not think of my body at needle point.	Je n'ai pas pensé à mon corps au contact de l'aiguille. 	
	Even the cornea and the leftover urine were gone.   	Même la cornée et les restes d'urine avaient disparu. 	
	Suicides have already betrayed the body.	Des suicides ont déjà trahi ce corps. 	
			
strophe	Still-born, they don’t always die,	Mort-nés, ils ne meurent pas toujours, 	
	but dazzled, they can’t forget a drug so sweet   	mais éblouis, ils ne peuvent oublier une drogue si douce	
	that even children would look on and smile.	que même les enfants apprécieraient en souriant. 	
			
strophe	To thrust all that life under your tongue!—	Jeter toute cette vie sous votre votre langue ! —	
	that, all by itself, becomes a passion.   	cela devient tout seul une passion. 	
	Death’s a sad bone; bruised, you’d say,	La mort est un os triste; meurtri, vous diriez, 	
			
strophe	and yet she waits for me, year after year,   	et pourtant elle m'attend, année après année, 	
	to so delicately undo an old wound,   	pour effacer si délicatement une ancienne blessure, 	
	to empty my breath from its bad prison.	pour vider mon souffle de sa prison malsaine. 	
			
strophe	Balanced there, suicides sometimes meet,   	À égalité, les suicides se retrouvent parfois, 	
	raging at the fruit a pumped-up moon,   	ravageant le fruit, une lune enflée, 	
	leaving the bread they mistook for a kiss,	laissant le pain qu'ils ont pris pour un baiser, 	
			
strophe	leaving the page of the book carelessly open,	laissant la page du livre négligemment ouverte, 	
	something unsaid, the phone off the hook	un non-dit, le téléphone décroché 	
	and the love whatever it was, an infection.	et l'amour quel qu'il fut, une infection.	
			
source	|Wanting to die|http://www.poetryfoundation.org/poem/171275|,. Live or Die, 1966, poetryfoundation.org	Vouloir mourir, 3/2013	
			
url			
image-src			
image-href			
			
other	Analyse	|{Analysing metaphors}|http://www.knowledgerush.com/kr/jsp/db/view.jsp?columnId=194&contentType=column|, www.knowledgerush.com, 4/2005	
			
translation-in-progress			
